"id","name","screen_name","url","icon","cate"
"32379204","Fujitsu Global","Fujitsu_Global","https://twitter.com/Fujitsu_Global","https://pbs.twimg.com/profile_images/1545408731210563584/nJ-osISL_normal.jpg","companies"
"32860795","Shahaf Bar-Geffen","shahafbg","https://twitter.com/shahafbg","https://pbs.twimg.com/profile_images/1540767211257827328/30imiTaY_normal.jpg","coins-teams-important"
"33939145","Alexandre Dreyfus 🇹🇷","alex_dreyfus","https://twitter.com/alex_dreyfus","https://pbs.twimg.com/profile_images/1148087245401985024/vz_qYx-g_normal.jpg","coins-teams-important"
"33962758","Gavin Wood","gavofyork","https://twitter.com/gavofyork","https://pbs.twimg.com/profile_images/981390758870683656/RxA_8cyN_normal.jpg","coins-teams-important"
"34356968","Samsung US","SamsungUS","https://twitter.com/SamsungUS","https://pbs.twimg.com/profile_images/789480724256722944/2RrMwrFG_normal.jpg","companies"
"34442404","Sony","Sony","https://twitter.com/Sony","https://pbs.twimg.com/profile_images/1676582807605223427/ECT7V3nN_normal.jpg","companies"
"34743251","SpaceX","SpaceX","https://twitter.com/SpaceX","https://pbs.twimg.com/profile_images/1658134481696354304/HKddC4vC_normal.jpg","companies"
"36208197","BitTorrent","BitTorrent","https://twitter.com/BitTorrent","https://pbs.twimg.com/profile_images/1612333112977149952/2zCqak4k_normal.png","coins"
"36730070","Mastercard News","MastercardNews","https://twitter.com/MastercardNews","https://pbs.twimg.com/profile_images/897450965791420417/TxJO7iLD_normal.jpg","companies"
"36803580","Steam","Steam","https://twitter.com/Steam","https://pbs.twimg.com/profile_images/1221956534982152192/ePvFWJ7z_normal.jpg","companies"
"41579086","Swift","swiftcommunity","https://twitter.com/swiftcommunity","https://pbs.twimg.com/profile_images/1675607778163826688/4ZId1dEk_normal.jpg","companies"
"42712551","American Express","AmericanExpress","https://twitter.com/AmericanExpress","https://pbs.twimg.com/profile_images/1633223489283825665/_g2VnLur_normal.jpg","companies"
"44078873","Tech in Asia","techinasia","https://twitter.com/techinasia","https://pbs.twimg.com/profile_images/1573153876596752384/Ic5wl-wO_normal.jpg","news-outlets-twitter"
"44196397","Elon Musk","elonmusk","https://twitter.com/elonmusk","https://pbs.twimg.com/profile_images/1590968738358079488/IY9Gx6Ok_normal.jpg","elon-musk"
"44675584","0xGraham.lens 🦇🔊","0x4Graham","https://twitter.com/0x4Graham","https://pbs.twimg.com/profile_images/1536325998987337729/rwzKua_K_normal.jpg","coins-teams"
"46238620","Sergey Nazarov","SergeyNazarov","https://twitter.com/SergeyNazarov","https://pbs.twimg.com/profile_images/751118197126991873/eSXubsCD_normal.jpg","coins-teams-important"
"50393960","Bill Gates","BillGates","https://twitter.com/BillGates","https://pbs.twimg.com/profile_images/1674815862879178752/nTGMV1Eo_normal.jpg","companies"
"50883209","PUMA.eth","PUMA","https://twitter.com/PUMA","https://pbs.twimg.com/profile_images/1668163968702066689/9Z7DMLcP_normal.jpg","companies"
"54502344","Mercedes-Benz","MercedesBenz","https://twitter.com/MercedesBenz","https://pbs.twimg.com/profile_images/1675787401489268736/z4AeSiqQ_normal.jpg","companies"
"60642052","VentureBeat","VentureBeat","https://twitter.com/VentureBeat","https://pbs.twimg.com/profile_images/1268192121477046272/oxLhAY5V_normal.jpg","news-outlets-twitter"
"64565898","Minecraft","Minecraft","https://twitter.com/Minecraft","https://pbs.twimg.com/profile_images/1559209238076919809/H57ucjs2_normal.jpg","companies"
"65174274","Fidelity Investments","Fidelity","https://twitter.com/Fidelity","https://pbs.twimg.com/profile_images/1278360830367674368/SfqcgSVD_normal.jpg","companies"
